tags_tokenize
"['bars', 'dinner', 'with', 'drinks', 'waffles', 'good', 'for', 'groups', 'craft', 'beer', 'burgers', 'western', '1-for-1', 'deals', 'breakfast', '&', 'brunch']"
"['ice', 'cream', '&', 'yoghurt', 'cafes', '&', 'coffee', 'desserts', 'waffles', '1-for-1', 'deals']"
"['date', 'night', 'cafes', '&', 'coffee', 'western', '1-for-1', 'deals', 'breakfast', '&', 'brunch']"
"['japanese', '1-for-1', 'deals']"
"['desserts', 'fruit', 'tea', '1-for-1', 'deals']"
"['buffets', 'japanese', 'dinner', 'with', 'drinks', 'supper', 'late', 'night', 'bbq', '1-for-1', 'deals']"
"['burpple', 'guides', 'dinner', 'with', 'drinks', 'date', 'night', 'cafes', '&', 'coffee', 'western', 'breakfast', '&', 'brunch']"
"['desserts', 'cakes', '1-for-1', 'deals']"
"['seafood', 'hidden', 'gem', 'cheap', '&', 'good', 'good', 'for', 'groups', '1-for-1', 'deals']"
"['bread', 'cafes', '&', 'coffee', 'desserts']"
"['dim', 'sum', 'buffets', 'good', 'for', 'groups', 'chinese', '1-for-1', 'deals']"
"['ice', 'cream', '&', 'yoghurt', 'desserts']"
"['middle', 'eastern', 'vegetarian', 'bread', '1-for-1', 'deals', 'halal']"
"['ice', 'cream', '&', 'yoghurt', 'desserts', '1-for-1', 'deals', 'halal']"
"['burgers', 'western']"
"['seafood', 'pasta', 'cafes', '&', 'coffee', 'western', '1-for-1', 'deals', 'halal']"
"['desserts', 'fruit', 'tea', 'bubble', 'tea']"
"['pasta', 'italian', 'cafes', '&', 'coffee', 'halal']"
"['sushi', 'japanese', 'cheap', '&', 'good']"
"['supper', 'good', 'for', 'groups', 'chinese', '1-for-1', 'deals']"
"['cafes', '&', 'coffee', 'desserts']"
"['rainy', 'day', 'comforts', 'buffets', 'supper', 'late', 'night', 'chinese', '1-for-1', 'deals', 'steamboat']"
"['mexican', 'cafes', '&', 'coffee', 'breakfast', '&', 'brunch', 'halal']"
"['burgers', 'western', 'halal']"
