Place,Address,Tags,url
Xiangcao Yunnan Original Ecology Hotpot,26 Liang Seah Street #01-01 Singapore 189047,"['Rainy Day Comforts', 'Buffets', 'Supper', 'Chinese', '1-For-1 Deals', 'Steamboat']",https://www.burpple.com/xiangcaosingapore
Lickety Ice Cream and Waffles,34 Bussorah Street Singapore 199452,"['Ice Cream & Yoghurt', 'Desserts', 'Waffles', 'Halal']",https://www.burpple.com/lickety
Sanobar Gila Gula,48 Kandahar Street Singapore 198899,"['Local Delights', 'Malay', 'Desserts', 'Halal']",https://www.burpple.com/gila-gula
Edith Patisserie,772 North Bridge Road #01-00 Singapore 198740,"['Desserts', 'Cakes', 'Takeaway Available']",https://www.burpple.com/edith-patisserie
Pizza Maru (Bugis+),201 Victoria Street #04-03/04 Bugis+ Singapore 188067,"['Pizza', 'Korean', 'Korean Fried Chicken']",https://www.burpple.com/pizza-maru-bugis
En Sushi,112 Middle Road #01-00B Midland House Singapore 188970,"['Sushi', 'Chirashi', 'Japanese']",https://www.burpple.com/en-sushi
Little Damage (Haji Lane),2 Haji Lane Singapore 189195,"['Ice Cream & Yoghurt', 'Desserts', '1-For-1 Deals']",https://www.burpple.com/little-damage
Narrative Coffee Stand,231 Bain Street #01-05 Bras Basah Complex Singapore 180231,['Cafes & Coffee'],https://www.burpple.com/narrative-coffee-stand
Sushi Airways,20A Baghdad Street Singapore 199659,"['Sushi', 'Interesting', 'Chirashi', 'Japanese']",https://www.burpple.com/sushiairways-sushibar
Una Una,201 Victoria Street #04-10 Bugis+ Singapore 188067,['Japanese'],https://www.burpple.com/una-una
Kappou Japanese Sushi Tapas Bar,190 Middle Road #02-10A Fortune Centre Singapore 188979,"['Seafood', 'Hidden Gem', 'Sushi', 'Japanese', 'Dinner With Drinks', 'Date Night']",https://www.burpple.com/kappou-japanese-sushi-tapas-bar
Paulinni (Bugis+),201 Victoria Street #01-07 Bugis+ Singapore 188067,"['Ice Cream & Yoghurt', 'Cafes & Coffee', 'Waffles', 'Western']",https://www.burpple.com/paulinni-at-bugis
665°F,5 Fraser Street Level 38 Andaz Singapore Singapore 189354,"['Seafood', 'Great View', 'Steak', 'Dinner With Drinks', 'Date Night', 'Western', 'Halal']",https://www.burpple.com/665-degrees-fahrenheit
Positano Risto,66 Bussorah Street Singapore 199479,"['Pasta', 'Italian', 'Pizza', 'Western', 'Halal']",https://www.burpple.com/positano-risto
Ramen Keisuke Tonkotsu King Four Seasons (Bugis),158 Rochor Road Bugis Village Singapore 188433,"['Ramen', 'Japanese']",https://www.burpple.com/ramen-keisuke-tonkotsu-king-four-seasons
Wing Zone (Bugis+),201 Victoria Street #04-02 Bugis+ Singapore 188067,"['Western', '1-For-1 Deals', 'Halal']",https://www.burpple.com/wing-zone-bugis
Hummus & Grill,23 Baghdad Street Singapore 199662,"['Middle Eastern', 'Late Night', '1-For-1 Deals']",https://www.burpple.com/hummus-grill
